studyid,ibq1,ibq2,ibq3,ibq4,ibq5,ibq6,ibq7,ibq8,ibq9,ibq10,ibq11,ibq12,ibq13,ibq14,ibq15,ibq16,ibq17,ibq18,ibq19,ibq20,ibq21,ibq22,ibq23,ibq24,ibq25,ibq26,ibq27,ibq28,ibq29,ibq30,ibq31,ibq32,ibq33,ibq34,ibq35,ibq36,ibq37,ibq38,ibq39,ibq40,ibq41,ibq42,ibq43,ibq44,ibq45,ibq46,ibq47,ibq48,ibq49,ibq50,ibq51,ibq52,ibq53,ibq54,ibq55,ibq56,ibq57,ibq58,ibq59,ibq60,ibq61,ibq62,ibq63,ibq64,ibq65,ibq66,ibq67,ibq68,ibq69,ibq70,ibq71,ibq72,ibq73,ibq74,ibq75,ibq76,ibq77,ibq78,ibq79,ibq80,ibq81,ibq82,ibq83,ibq84,ibq85,ibq86,ibq87,ibq88,ibq89,ibq90,ibq91
1,6,5,4,4,7,1,5,2,1,4,7,6,6,6,6,4,1,6,4,4,3,2,7,6,5,3,6,4,NA,4,2,1,4,7,1,7,6,2,5,2,6,5,3,1,7,4,7,5,6,6,2,3,4,4,NA,4,NA,6,5,7,6,3,NA,3,3,7,3,1,4,6,2,4,1,5,4,3,2,4,NA,7,4,2,6,5,5,1,3,6,6,4,1
2,NA,3,7,3,2,5,5,NA,6,2,6,1,6,NA,6,5,4,5,2,6,NA,4,4,4,1,1,2,1,4,5,5,4,6,4,1,6,5,5,4,4,1,4,NA,3,5,1,3,NA,7,2,2,3,7,6,1,2,6,1,6,2,7,3,4,5,1,4,4,6,7,5,3,3,NA,6,3,2,3,1,1,1,NA,6,5,4,6,NA,7,NA,7,2,6
3,5,4,4,2,NA,2,3,5,NA,5,3,NA,1,3,1,3,7,3,7,4,5,4,2,6,7,NA,6,2,6,6,4,6,2,1,1,4,7,1,4,5,2,6,NA,6,NA,4,2,4,6,1,6,4,6,5,4,3,5,1,5,1,5,5,1,6,3,6,1,2,4,2,3,5,2,5,1,2,5,6,2,3,7,7,5,4,NA,5,5,NA,1,NA,4
4,3,4,NA,6,1,NA,2,4,5,4,4,NA,2,5,NA,4,6,2,7,3,4,4,6,4,2,1,3,6,1,NA,4,1,3,NA,3,1,NA,5,NA,2,2,5,6,6,7,NA,3,1,5,7,7,2,2,1,1,4,4,3,3,6,4,6,7,3,NA,NA,5,NA,5,4,7,2,7,7,2,2,4,1,3,4,7,NA,NA,7,1,6,6,7,2,7,7
5,NA,4,3,1,6,NA,5,3,3,7,1,6,6,3,2,1,7,7,2,1,NA,1,6,7,NA,6,2,3,5,6,7,1,2,2,3,7,6,3,7,4,4,4,2,7,1,2,2,2,NA,1,5,NA,1,3,4,7,5,6,5,3,2,7,6,1,6,1,6,6,1,4,1,4,7,NA,3,7,3,1,4,4,5,3,NA,4,3,7,7,4,1,5,1
6,2,5,6,1,6,NA,6,3,1,NA,2,5,2,7,6,6,4,4,5,6,6,1,5,1,3,6,2,6,4,2,3,4,6,5,7,7,6,5,3,3,1,3,7,3,1,5,7,7,2,4,4,2,2,2,7,6,6,6,7,1,NA,1,4,5,3,2,2,6,3,3,7,2,7,7,5,2,NA,2,5,2,4,1,4,1,5,1,NA,2,6,NA,4
7,5,4,5,6,3,6,3,7,4,6,7,6,6,4,1,4,NA,7,2,2,2,5,4,7,3,2,1,1,3,7,4,7,1,1,6,1,1,3,NA,5,1,6,NA,6,7,2,7,3,6,5,6,5,5,5,6,6,1,6,4,3,4,7,7,6,4,6,NA,5,5,2,2,1,1,4,4,2,3,5,2,3,3,4,3,6,3,4,3,2,5,2,4
8,6,7,5,7,6,4,6,NA,4,4,7,6,4,5,2,6,4,4,6,5,1,3,NA,6,1,2,5,5,4,7,7,1,7,5,5,1,5,6,5,NA,4,7,6,1,7,NA,2,6,3,5,4,6,7,6,7,7,1,2,6,NA,1,1,NA,NA,NA,2,1,NA,1,5,4,4,5,4,6,6,NA,6,4,4,2,5,1,7,6,1,6,1,6,NA,3
9,5,6,3,7,6,2,5,6,3,6,7,6,6,5,2,6,3,4,3,3,NA,NA,2,1,7,4,4,6,3,1,6,2,4,7,7,NA,NA,5,4,1,3,5,7,1,6,NA,7,3,1,2,6,NA,5,1,1,4,5,1,5,NA,1,1,4,6,6,4,NA,7,4,3,4,1,3,4,7,6,NA,4,1,3,7,1,7,5,2,6,6,1,1,5,4
10,1,5,1,5,5,1,5,7,7,1,2,2,4,2,6,6,6,2,1,7,3,NA,7,1,1,1,2,1,6,5,7,6,7,NA,3,6,2,1,NA,NA,7,7,NA,6,6,5,6,NA,4,1,4,2,1,1,5,4,4,6,4,5,1,6,4,2,6,6,1,2,1,2,1,5,4,7,6,5,4,1,1,5,NA,1,2,7,4,5,3,2,NA,1,7
